OrderID,OrderDate,ProductID,ProductName,Category,Quantity,UnitPrice,CostPerUnit,Discount,CustomerType,PaymentMode
O267166,2025-03-22 16:34:39.742893,P006,Nachos,Snacks,4,140,85,25,Returning,Wallet
O387251,2025-04-22 16:34:39.742893,P004,Cold Coffee,Beverages,2,110,50,25,New,Wallet
O716200,2024-02-10 16:34:39.742893,P004,Cold Coffee,Beverages,3,110,50,15,New,Cash
O648975,2025-02-08 16:34:39.742893,P004,Cold Coffee,Beverages,2,110,50,0,Returning,Wallet
O115846,2024-02-17 16:34:39.742893,P001,Veg Burger,Meals,4,120,70,25,Returning,Card
O921815,2025-08-15 16:34:39.742893,P005,Fresh Juice,Beverages,2,90,45,10,New,Cash
O457268,2024-03-19 16:34:39.742893,P003,French Fries,Snacks,5,80,40,15,Returning,Card
O103324,2025-06-01 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,0,Returning,Cash
O448158,2025-08-01 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,15,Returning,Wallet
O643772,2024-08-27 16:34:39.742893,P001,Veg Burger,Meals,3,120,70,10,New,Cash
O784630,2025-05-15 16:34:39.742893,P003,French Fries,Snacks,4,80,40,15,New,UPI
O722505,2025-09-06 16:34:39.742893,P003,French Fries,Snacks,2,80,40,0,Returning,UPI
O640699,2024-03-07 16:34:39.742893,P006,Nachos,Snacks,5,140,85,5,Returning,Card
O412810,2024-12-18 16:34:39.742893,P004,Cold Coffee,Beverages,4,110,50,5,Returning,Cash
O115903,2024-01-03 16:34:39.742893,P005,Fresh Juice,Beverages,3,90,45,10,Returning,Wallet
O857066,2025-05-21 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,20,Returning,Wallet
O639797,2025-11-13 16:34:39.742893,P004,Cold Coffee,Beverages,3,110,50,20,New,Card
O372284,2024-03-17 16:34:39.742893,P004,Cold Coffee,Beverages,5,110,50,20,New,Wallet
O718855,2024-04-19 16:34:39.742893,P004,Cold Coffee,Beverages,5,110,50,15,New,Cash
O296086,2024-01-16 16:34:39.742893,P006,Nachos,Snacks,5,140,85,15,Returning,Card
O280927,2025-07-10 16:34:39.742893,P005,Fresh Juice,Beverages,4,90,45,10,New,Wallet
O717263,2024-10-26 16:34:39.742893,P002,Paneer Wrap,Meals,3,150,90,10,Returning,Cash
O313826,2024-06-27 16:34:39.742893,P006,Nachos,Snacks,3,140,85,15,Returning,UPI
O858388,2024-07-20 16:34:39.742893,P006,Nachos,Snacks,4,140,85,0,New,UPI
O450064,2024-11-17 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,15,Returning,UPI
O598530,2025-11-26 16:34:39.742893,P004,Cold Coffee,Beverages,3,110,50,0,Returning,Card
O169391,2025-04-07 16:34:39.742893,P006,Nachos,Snacks,5,140,85,15,New,Cash
O518516,2024-03-04 16:34:39.742893,P006,Nachos,Snacks,3,140,85,0,Returning,Wallet
O414597,2025-02-02 16:34:39.742893,P002,Paneer Wrap,Meals,2,150,90,20,Returning,UPI
O178728,2025-04-09 16:34:39.742893,P004,Cold Coffee,Beverages,1,110,50,5,Returning,Card
O771961,2025-10-14 16:34:39.742893,P002,Paneer Wrap,Meals,2,150,90,25,Returning,Card
O681347,2025-06-07 16:34:39.742893,P001,Veg Burger,Meals,3,120,70,0,New,Cash
O121570,2024-09-22 16:34:39.742893,P005,Fresh Juice,Beverages,2,90,45,5,Returning,Cash
O535529,2025-05-22 16:34:39.742893,P005,Fresh Juice,Beverages,1,90,45,25,New,Card
O190799,2024-11-06 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,25,Returning,Card
O312534,2025-04-03 16:34:39.742893,P002,Paneer Wrap,Meals,5,150,90,15,New,Card
O621559,2024-01-09 16:34:39.742893,P006,Nachos,Snacks,3,140,85,5,Returning,Cash
O917303,2024-01-10 16:34:39.742893,P006,Nachos,Snacks,4,140,85,5,New,Cash
O494199,2024-11-15 16:34:39.742893,P006,Nachos,Snacks,4,140,85,10,New,Cash
O741843,2025-08-11 16:34:39.742893,P005,Fresh Juice,Beverages,3,90,45,10,New,Cash
O250563,2025-10-26 16:34:39.742893,P001,Veg Burger,Meals,2,120,70,10,Returning,UPI
O833777,2025-05-31 16:34:39.742893,P003,French Fries,Snacks,2,80,40,20,Returning,Card
O702370,2024-11-15 16:34:39.742893,P006,Nachos,Snacks,5,140,85,15,Returning,Card
O290295,2024-07-31 16:34:39.742893,P001,Veg Burger,Meals,4,120,70,5,Returning,Card
O985234,2024-06-25 16:34:39.742893,P003,French Fries,Snacks,4,80,40,5,New,Wallet
O374143,2025-03-26 16:34:39.742893,P006,Nachos,Snacks,3,140,85,5,Returning,UPI
O950057,2025-11-23 16:34:39.742893,P004,Cold Coffee,Beverages,1,110,50,5,Returning,Card
O179004,2024-11-06 16:34:39.742893,P005,Fresh Juice,Beverages,3,90,45,25,Returning,UPI
O560971,2024-07-14 16:34:39.742893,P003,French Fries,Snacks,5,80,40,0,New,UPI
O940257,2024-09-06 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,0,Returning,UPI
O345851,2024-08-23 16:34:39.742893,P003,French Fries,Snacks,3,80,40,0,New,Card
O618791,2025-06-22 16:34:39.742893,P002,Paneer Wrap,Meals,4,150,90,25,New,Wallet
O770254,2025-03-15 16:34:39.742893,P002,Paneer Wrap,Meals,4,150,90,0,Returning,UPI
O619853,2025-07-31 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,10,New,UPI
O188041,2023-12-30 16:34:39.742893,P006,Nachos,Snacks,1,140,85,5,New,UPI
O562624,2024-04-21 16:34:39.742893,P003,French Fries,Snacks,2,80,40,5,Returning,UPI
O844413,2025-05-20 16:34:39.742893,P003,French Fries,Snacks,5,80,40,0,Returning,Cash
O124057,2025-06-07 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,10,Returning,Card
O667423,2024-07-17 16:34:39.742893,P004,Cold Coffee,Beverages,5,110,50,0,Returning,UPI
O194582,2025-05-17 16:34:39.742893,P005,Fresh Juice,Beverages,5,90,45,10,New,Wallet
O380773,2024-08-16 16:34:39.742893,P003,French Fries,Snacks,2,80,40,5,New,Card
O181592,2025-05-11 16:34:39.742893,P006,Nachos,Snacks,2,140,85,5,Returning,Wallet
O259207,2024-04-02 16:34:39.742893,P006,Nachos,Snacks,4,140,85,0,New,UPI
O274878,2024-09-27 16:34:39.742893,P004,Cold Coffee,Beverages,1,110,50,10,Returning,Card
O247899,2025-07-03 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,5,Returning,Cash
O824967,2024-06-23 16:34:39.742893,P005,Fresh Juice,Beverages,2,90,45,15,Returning,Card
O198944,2024-04-16 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,5,New,UPI
O529266,2025-12-21 16:34:39.742893,P003,French Fries,Snacks,3,80,40,20,Returning,Cash
O109115,2025-04-12 16:34:39.742893,P003,French Fries,Snacks,4,80,40,20,Returning,Cash
O151819,2024-10-08 16:34:39.742893,P006,Nachos,Snacks,2,140,85,10,Returning,Cash
O639788,2025-02-27 16:34:39.742893,P004,Cold Coffee,Beverages,3,110,50,20,New,Card
O365332,2025-04-12 16:34:39.742893,P002,Paneer Wrap,Meals,3,150,90,5,New,Card
O133021,2024-01-10 16:34:39.742893,P005,Fresh Juice,Beverages,3,90,45,25,Returning,Card
O393463,2024-01-18 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,20,Returning,UPI
O557307,2024-10-17 16:34:39.742893,P002,Paneer Wrap,Meals,2,150,90,10,New,Cash
O791754,2024-02-16 16:34:39.742893,P001,Veg Burger,Meals,3,120,70,0,New,Cash
O357684,2025-04-19 16:34:39.742893,P006,Nachos,Snacks,2,140,85,15,Returning,UPI
O843362,2025-12-21 16:34:39.742893,P004,Cold Coffee,Beverages,3,110,50,10,New,Wallet
O806686,2025-04-13 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,15,Returning,UPI
O399125,2024-08-29 16:34:39.742893,P004,Cold Coffee,Beverages,3,110,50,10,New,Wallet
O165506,2024-10-16 16:34:39.742893,P001,Veg Burger,Meals,5,120,70,10,New,Wallet
O288318,2024-05-24 16:34:39.742893,P005,Fresh Juice,Beverages,1,90,45,25,New,UPI
O570319,2025-01-10 16:34:39.742893,P003,French Fries,Snacks,3,80,40,10,New,UPI
O167052,2025-10-05 16:34:39.742893,P001,Veg Burger,Meals,3,120,70,25,Returning,Wallet
O712528,2024-01-22 16:34:39.742893,P003,French Fries,Snacks,4,80,40,15,New,Wallet
O222160,2024-06-09 16:34:39.742893,P005,Fresh Juice,Beverages,3,90,45,10,New,Cash
O768812,2024-07-10 16:34:39.742893,P006,Nachos,Snacks,4,140,85,10,New,Wallet
O903398,2025-08-02 16:34:39.742893,P006,Nachos,Snacks,4,140,85,0,New,UPI
O278935,2025-05-01 16:34:39.742893,P004,Cold Coffee,Beverages,4,110,50,10,New,UPI
O556227,2024-11-21 16:34:39.742893,P003,French Fries,Snacks,3,80,40,25,Returning,UPI
O185826,2025-04-12 16:34:39.742893,P002,Paneer Wrap,Meals,3,150,90,20,New,UPI
O313806,2025-08-20 16:34:39.742893,P001,Veg Burger,Meals,5,120,70,5,New,UPI
O381859,2024-02-17 16:34:39.742893,P006,Nachos,Snacks,4,140,85,0,Returning,Card
O279388,2024-01-19 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,5,Returning,Wallet
O635866,2025-12-23 16:34:39.742893,P002,Paneer Wrap,Meals,4,150,90,0,New,Cash
O600236,2025-03-16 16:34:39.742893,P003,French Fries,Snacks,3,80,40,0,Returning,UPI
O241924,2024-09-23 16:34:39.742893,P003,French Fries,Snacks,4,80,40,5,New,Card
O630352,2025-06-29 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,0,Returning,Wallet
O523994,2024-11-08 16:34:39.742893,P003,French Fries,Snacks,5,80,40,15,New,Card
O636787,2025-05-30 16:34:39.742893,P003,French Fries,Snacks,2,80,40,25,Returning,Cash
O801510,2024-01-30 16:34:39.742893,P001,Veg Burger,Meals,3,120,70,20,Returning,Wallet
O378547,2025-12-21 16:34:39.742893,P003,French Fries,Snacks,5,80,40,0,New,Wallet
O862012,2024-12-18 16:34:39.742893,P003,French Fries,Snacks,5,80,40,5,Returning,UPI
O989925,2024-06-20 16:34:39.742893,P001,Veg Burger,Meals,3,120,70,0,Returning,UPI
O858981,2025-04-11 16:34:39.742893,P001,Veg Burger,Meals,5,120,70,15,Returning,Wallet
O672015,2025-12-23 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,5,New,Wallet
O234268,2024-07-13 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,25,New,Card
O799070,2024-06-16 16:34:39.742893,P006,Nachos,Snacks,5,140,85,20,New,UPI
O830226,2024-12-07 16:34:39.742893,P006,Nachos,Snacks,4,140,85,20,Returning,Wallet
O649431,2024-04-03 16:34:39.742893,P006,Nachos,Snacks,5,140,85,25,New,UPI
O793120,2025-07-26 16:34:39.742893,P005,Fresh Juice,Beverages,3,90,45,25,Returning,Cash
O400234,2024-01-02 16:34:39.742893,P002,Paneer Wrap,Meals,2,150,90,0,New,Wallet
O730083,2024-11-24 16:34:39.742893,P005,Fresh Juice,Beverages,4,90,45,5,Returning,Cash
O730974,2024-01-08 16:34:39.742893,P003,French Fries,Snacks,2,80,40,20,Returning,Wallet
O741706,2024-08-30 16:34:39.742893,P006,Nachos,Snacks,5,140,85,0,Returning,UPI
O681552,2025-12-01 16:34:39.742893,P004,Cold Coffee,Beverages,5,110,50,20,Returning,Card
O365906,2024-07-26 16:34:39.742893,P004,Cold Coffee,Beverages,4,110,50,20,New,UPI
O356907,2025-08-06 16:34:39.742893,P002,Paneer Wrap,Meals,3,150,90,20,New,Wallet
O669679,2025-07-07 16:34:39.742893,P002,Paneer Wrap,Meals,2,150,90,10,New,Wallet
O758836,2025-12-08 16:34:39.742893,P004,Cold Coffee,Beverages,2,110,50,10,Returning,Card
O569831,2025-09-30 16:34:39.742893,P006,Nachos,Snacks,1,140,85,20,New,Cash
O719396,2025-12-18 16:34:39.742893,P006,Nachos,Snacks,2,140,85,15,New,Card
O122358,2024-12-12 16:34:39.742893,P004,Cold Coffee,Beverages,3,110,50,0,New,UPI
O794678,2025-10-23 16:34:39.742893,P006,Nachos,Snacks,5,140,85,15,New,UPI
O968527,2024-12-20 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,20,New,Cash
O903860,2025-06-17 16:34:39.742893,P004,Cold Coffee,Beverages,4,110,50,15,Returning,Wallet
O752023,2024-12-14 16:34:39.742893,P006,Nachos,Snacks,1,140,85,0,New,Wallet
O992628,2024-01-14 16:34:39.742893,P006,Nachos,Snacks,2,140,85,20,New,Card
O788264,2025-11-12 16:34:39.742893,P005,Fresh Juice,Beverages,1,90,45,10,New,Cash
O366679,2025-02-05 16:34:39.742893,P003,French Fries,Snacks,1,80,40,5,Returning,Card
O938099,2025-01-05 16:34:39.742893,P002,Paneer Wrap,Meals,3,150,90,15,Returning,Cash
O159708,2024-11-03 16:34:39.742893,P002,Paneer Wrap,Meals,3,150,90,0,New,Wallet
O529980,2025-10-12 16:34:39.742893,P003,French Fries,Snacks,5,80,40,5,New,UPI
O158579,2024-06-18 16:34:39.742893,P003,French Fries,Snacks,3,80,40,15,Returning,Cash
O112570,2025-11-26 16:34:39.742893,P002,Paneer Wrap,Meals,2,150,90,10,Returning,Cash
O900826,2024-12-16 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,0,New,Card
O788883,2025-06-29 16:34:39.742893,P006,Nachos,Snacks,1,140,85,10,Returning,Wallet
O700172,2024-12-04 16:34:39.742893,P004,Cold Coffee,Beverages,3,110,50,10,Returning,Card
O493309,2025-05-29 16:34:39.742893,P003,French Fries,Snacks,2,80,40,10,Returning,Wallet
O294598,2025-11-16 16:34:39.742893,P002,Paneer Wrap,Meals,5,150,90,20,New,UPI
O149971,2024-06-29 16:34:39.742893,P004,Cold Coffee,Beverages,4,110,50,20,Returning,Cash
O500949,2025-05-27 16:34:39.742893,P006,Nachos,Snacks,5,140,85,0,Returning,Cash
O973645,2024-06-16 16:34:39.742893,P006,Nachos,Snacks,2,140,85,25,Returning,UPI
O938730,2025-08-14 16:34:39.742893,P005,Fresh Juice,Beverages,3,90,45,10,New,Wallet
O229534,2024-05-08 16:34:39.742893,P004,Cold Coffee,Beverages,5,110,50,25,Returning,Cash
O749804,2025-06-01 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,10,New,UPI
O502639,2024-08-15 16:34:39.742893,P001,Veg Burger,Meals,5,120,70,20,New,Card
O906410,2024-05-19 16:34:39.742893,P005,Fresh Juice,Beverages,4,90,45,5,Returning,Cash
O275107,2024-12-31 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,25,Returning,Cash
O963693,2024-08-26 16:34:39.742893,P004,Cold Coffee,Beverages,3,110,50,10,New,UPI
O330545,2025-05-14 16:34:39.742893,P003,French Fries,Snacks,5,80,40,0,New,Cash
O860628,2025-04-03 16:34:39.742893,P004,Cold Coffee,Beverages,3,110,50,10,New,Card
O185501,2025-05-29 16:34:39.742893,P005,Fresh Juice,Beverages,5,90,45,15,New,Cash
O303977,2025-09-03 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,20,New,Card
O614120,2025-02-22 16:34:39.742893,P004,Cold Coffee,Beverages,5,110,50,15,Returning,Cash
O436834,2025-04-12 16:34:39.742893,P002,Paneer Wrap,Meals,2,150,90,25,Returning,Wallet
O271118,2025-12-21 16:34:39.742893,P001,Veg Burger,Meals,5,120,70,0,Returning,UPI
O392820,2024-01-07 16:34:39.742893,P002,Paneer Wrap,Meals,3,150,90,15,New,Wallet
O102823,2024-04-10 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,20,Returning,Cash
O507960,2025-08-09 16:34:39.742893,P005,Fresh Juice,Beverages,2,90,45,25,Returning,UPI
O962857,2024-11-10 16:34:39.742893,P003,French Fries,Snacks,4,80,40,20,New,UPI
O137609,2025-09-14 16:34:39.742893,P005,Fresh Juice,Beverages,3,90,45,5,New,Cash
O467759,2025-06-13 16:34:39.742893,P003,French Fries,Snacks,1,80,40,20,New,UPI
O349059,2025-06-05 16:34:39.742893,P006,Nachos,Snacks,5,140,85,20,New,Wallet
O502996,2025-03-14 16:34:39.742893,P003,French Fries,Snacks,5,80,40,25,New,Card
O614432,2024-08-19 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,10,Returning,Wallet
O431845,2024-10-06 16:34:39.742893,P002,Paneer Wrap,Meals,3,150,90,5,New,Wallet
O363864,2024-09-06 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,10,New,Wallet
O579275,2024-09-29 16:34:39.742893,P003,French Fries,Snacks,1,80,40,15,Returning,Cash
O240956,2025-06-22 16:34:39.742893,P001,Veg Burger,Meals,5,120,70,0,New,Card
O601736,2024-03-24 16:34:39.742893,P005,Fresh Juice,Beverages,1,90,45,20,New,UPI
O614797,2025-06-10 16:34:39.742893,P006,Nachos,Snacks,3,140,85,20,Returning,Card
O314695,2024-02-08 16:34:39.742893,P004,Cold Coffee,Beverages,4,110,50,25,New,UPI
O838543,2024-11-17 16:34:39.742893,P005,Fresh Juice,Beverages,4,90,45,20,Returning,Card
O805395,2025-05-03 16:34:39.742893,P005,Fresh Juice,Beverages,1,90,45,10,New,Wallet
O463318,2025-11-07 16:34:39.742893,P003,French Fries,Snacks,3,80,40,10,New,Card
O100041,2024-12-11 16:34:39.742893,P004,Cold Coffee,Beverages,2,110,50,20,Returning,UPI
O419066,2024-03-30 16:34:39.742893,P001,Veg Burger,Meals,4,120,70,15,New,Cash
O234481,2024-06-03 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,10,Returning,Cash
O373784,2025-11-12 16:34:39.742893,P002,Paneer Wrap,Meals,4,150,90,20,New,Card
O616199,2025-07-26 16:34:39.742893,P004,Cold Coffee,Beverages,3,110,50,20,New,Wallet
O496042,2024-10-03 16:34:39.742893,P006,Nachos,Snacks,5,140,85,25,New,Cash
O639489,2025-09-27 16:34:39.742893,P002,Paneer Wrap,Meals,2,150,90,15,Returning,Wallet
O177228,2025-11-14 16:34:39.742893,P003,French Fries,Snacks,2,80,40,15,Returning,Card
O485682,2024-09-13 16:34:39.742893,P003,French Fries,Snacks,3,80,40,10,New,Wallet
O332443,2025-07-27 16:34:39.742893,P005,Fresh Juice,Beverages,2,90,45,25,Returning,Wallet
O298991,2025-05-24 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,15,Returning,Card
O434820,2024-04-13 16:34:39.742893,P002,Paneer Wrap,Meals,5,150,90,5,New,UPI
O307872,2025-12-12 16:34:39.742893,P001,Veg Burger,Meals,5,120,70,0,New,UPI
O359713,2025-12-23 16:34:39.742893,P004,Cold Coffee,Beverages,4,110,50,5,New,Wallet
O319371,2024-10-16 16:34:39.742893,P002,Paneer Wrap,Meals,2,150,90,20,New,Card
O690890,2025-01-21 16:34:39.742893,P002,Paneer Wrap,Meals,4,150,90,5,New,Wallet
O658571,2025-06-30 16:34:39.742893,P003,French Fries,Snacks,2,80,40,20,Returning,Wallet
O217592,2024-09-10 16:34:39.742893,P005,Fresh Juice,Beverages,1,90,45,0,Returning,Wallet
O810805,2024-09-15 16:34:39.742893,P005,Fresh Juice,Beverages,3,90,45,20,New,Card
O898834,2024-12-30 16:34:39.742893,P005,Fresh Juice,Beverages,2,90,45,25,New,Card
O226500,2025-04-07 16:34:39.742893,P005,Fresh Juice,Beverages,4,90,45,0,Returning,UPI
O131337,2025-09-23 16:34:39.742893,P001,Veg Burger,Meals,5,120,70,15,New,Wallet
O906791,2024-07-22 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,0,Returning,UPI
O699834,2025-02-09 16:34:39.742893,P001,Veg Burger,Meals,2,120,70,5,Returning,UPI
O598553,2025-02-18 16:34:39.742893,P002,Paneer Wrap,Meals,4,150,90,5,New,Wallet
O764021,2024-07-16 16:34:39.742893,P004,Cold Coffee,Beverages,4,110,50,5,Returning,Cash
O670425,2024-07-23 16:34:39.742893,P006,Nachos,Snacks,5,140,85,25,New,Card
O612275,2025-07-23 16:34:39.742893,P004,Cold Coffee,Beverages,1,110,50,10,New,Wallet
O185406,2024-03-02 16:34:39.742893,P001,Veg Burger,Meals,4,120,70,0,Returning,Wallet
O948110,2025-07-15 16:34:39.742893,P003,French Fries,Snacks,1,80,40,15,Returning,UPI
O374281,2025-01-15 16:34:39.742893,P003,French Fries,Snacks,4,80,40,25,Returning,Wallet
O670772,2025-08-23 16:34:39.742893,P006,Nachos,Snacks,1,140,85,15,Returning,Cash
O491974,2025-07-25 16:34:39.742893,P003,French Fries,Snacks,2,80,40,20,Returning,Cash
O630191,2025-02-03 16:34:39.742893,P001,Veg Burger,Meals,5,120,70,5,New,Cash
O310107,2025-02-15 16:34:39.742893,P001,Veg Burger,Meals,5,120,70,5,New,UPI
O767810,2024-11-24 16:34:39.742893,P006,Nachos,Snacks,4,140,85,15,Returning,Card
O458682,2024-06-21 16:34:39.742893,P005,Fresh Juice,Beverages,5,90,45,0,Returning,UPI
O494512,2024-09-18 16:34:39.742893,P006,Nachos,Snacks,5,140,85,15,New,Wallet
O372229,2024-12-11 16:34:39.742893,P003,French Fries,Snacks,3,80,40,0,Returning,Wallet
O954806,2024-02-02 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,15,Returning,Card
O924030,2025-09-22 16:34:39.742893,P002,Paneer Wrap,Meals,4,150,90,25,New,Card
O619836,2025-03-14 16:34:39.742893,P002,Paneer Wrap,Meals,3,150,90,5,New,Wallet
O488334,2025-02-18 16:34:39.742893,P003,French Fries,Snacks,5,80,40,15,New,Card
O417270,2025-08-12 16:34:39.742893,P006,Nachos,Snacks,1,140,85,20,Returning,Card
O453981,2025-04-27 16:34:39.742893,P001,Veg Burger,Meals,3,120,70,25,New,Wallet
O487928,2024-06-22 16:34:39.742893,P005,Fresh Juice,Beverages,1,90,45,0,New,Cash
O586944,2023-12-26 16:34:39.742893,P003,French Fries,Snacks,2,80,40,0,Returning,Wallet
O312024,2025-07-05 16:34:39.742893,P002,Paneer Wrap,Meals,3,150,90,0,New,Wallet
O296416,2024-12-31 16:34:39.742893,P006,Nachos,Snacks,1,140,85,10,New,Card
O831756,2024-11-15 16:34:39.742893,P002,Paneer Wrap,Meals,3,150,90,25,Returning,Card
O381504,2025-09-12 16:34:39.742893,P005,Fresh Juice,Beverages,1,90,45,10,Returning,Card
O540051,2024-01-29 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,20,Returning,Wallet
O298428,2024-06-11 16:34:39.742893,P003,French Fries,Snacks,4,80,40,10,New,UPI
O342355,2025-05-05 16:34:39.742893,P003,French Fries,Snacks,3,80,40,10,New,Cash
O237020,2025-03-12 16:34:39.742893,P006,Nachos,Snacks,4,140,85,0,New,Wallet
O676390,2024-10-16 16:34:39.742893,P004,Cold Coffee,Beverages,4,110,50,10,New,Card
O736758,2024-02-07 16:34:39.742893,P006,Nachos,Snacks,1,140,85,20,Returning,Card
O152256,2024-07-08 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,25,Returning,Cash
O644164,2025-03-11 16:34:39.742893,P006,Nachos,Snacks,1,140,85,10,Returning,Cash
O258306,2025-03-07 16:34:39.742893,P006,Nachos,Snacks,3,140,85,15,Returning,Cash
O424124,2024-09-23 16:34:39.742893,P002,Paneer Wrap,Meals,5,150,90,20,New,UPI
O570512,2024-06-11 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,20,Returning,Card
O409242,2024-01-18 16:34:39.742893,P005,Fresh Juice,Beverages,5,90,45,15,Returning,Wallet
O793192,2025-11-13 16:34:39.742893,P004,Cold Coffee,Beverages,5,110,50,25,New,Card
O243608,2025-05-11 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,20,New,UPI
O553844,2024-06-30 16:34:39.742893,P002,Paneer Wrap,Meals,3,150,90,20,New,UPI
O983787,2025-02-14 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,0,Returning,Cash
O582968,2024-12-30 16:34:39.742893,P005,Fresh Juice,Beverages,1,90,45,15,New,Card
O446713,2025-09-22 16:34:39.742893,P005,Fresh Juice,Beverages,5,90,45,20,New,Card
O791251,2025-11-28 16:34:39.742893,P006,Nachos,Snacks,4,140,85,15,New,UPI
O441129,2024-02-09 16:34:39.742893,P003,French Fries,Snacks,5,80,40,5,Returning,Card
O745978,2025-04-19 16:34:39.742893,P005,Fresh Juice,Beverages,5,90,45,15,New,Cash
